발생년,발생년월일시,발생분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_1당,당사자종별_2당_대분류,당사자종별_2당,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2016,2016031300,20,야간,일,1,1,0,0,0,대전,대덕구,차대사람,횡단중,횡단중,운전자법규위반,과속,단일로,기타단일로,승용차,중형,보행자,보행자,992884,1816351,127.4206989,36.34453121
2016,2016042114,30,주간,목,1,1,0,0,0,대전,대덕구,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,자전거,자전거,,,996169,1817586,127.4573011,36.35568393
2016,2016120817,40,주간,목,1,1,0,0,0,대전,대덕구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,자전거,자전거,보행자,보행자,993790,1819179,127.4307729,36.37003303
2016,2016071117,40,주간,월,1,1,0,0,0,대전,대덕구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,자전거,자전거,승용차,경형,993848,1818225,127.431427,36.36143272
2016,2016062708,40,주간,월,1,1,0,0,0,대전,대덕구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,화물차,소형,993013,1820219,127.4221018,36.37940368
2016,2016080701,50,야간,일,1,1,0,0,0,대전,대덕구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,992842,1816372,127.4202307,36.34472022
2016,2016041811,18,주간,월,1,1,0,0,0,대전,대덕구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,대형,자전거,자전거,993701,1827474,127.4297134,36.44481455
2016,2016112218,25,야간,화,1,1,0,0,0,대전,대덕구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,보행자,보행자,992867,1819781,127.420478,36.37545388
2016,2016112002,9,야간,일,1,1,0,0,0,대전,대덕구,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,,,993955,1817977,127.4326216,36.35919758
2016,2016022002,30,야간,토,1,1,0,0,0,대전,대덕구,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,화물차,대형,991080,1818712,127.400568,36.36580152
2016,2016020619,0,야간,토,1,1,0,0,0,대전,대덕구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,보행자,보행자,993787,1818568,127.4307443,36.36452461
2016,2016021706,0,주간,수,1,1,0,0,0,대전,대덕구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,기타단일로,화물차,중형,보행자,보행자,995111,1817732,127.4455081,36.35699538
